id,label
0,0
1,7
2,4
3,2
4,3
5,9
6,2
7,3
8,9
9,6
10,2
11,2
12,3
13,0
14,1
15,9
16,3
17,9
18,1
19,4
20,5
21,0
22,9
23,9
24,4
25,1
26,8
27,2
28,1
29,9
30,1
31,5
32,5
33,1
34,3
35,7
36,1
37,0
38,8
39,0
40,1
41,8
42,5
43,4
44,7
45,3
46,3
47,5
48,3
49,9
50,5
51,1
52,6
53,6
54,9
55,9
56,3
57,7
58,3
59,4
60,6
61,3
62,5
63,9
64,2
65,6
66,5
67,1
68,0
69,9
70,0
71,9
72,9
73,4
74,9
75,2
76,7
77,2
78,5
79,3
80,1
81,9
82,2
83,7
84,0
85,9
86,9
87,4
88,9
89,6
90,3
91,2
92,2
93,7
94,1
95,7
96,6
97,4
98,6
99,5
100,3
101,0
102,6
103,5
104,0
105,8
106,6
107,8
108,2
109,6
110,6
111,8
112,2
113,0
114,0
115,0
116,4
117,8
118,0
119,4
120,8
121,1
122,0
123,3
124,0
125,9
126,1
127,1
128,7
129,0
130,9
131,3
132,6
133,8
134,6
135,3
136,3
137,9
138,3
139,3
140,3
141,7
142,5
143,5
144,5
145,2
146,4
147,6
148,1
149,6
150,2
151,9
152,2
153,8
154,2
155,0
156,4
157,7
158,0
159,4
160,2
161,1
162,1
163,0
164,2
165,7
166,3
167,2
168,8
169,9
170,0
171,9
172,2
173,2
174,3
175,7
176,0
177,6
178,1
179,9
180,5
181,8
182,9
183,4
184,4
185,1
186,5
187,8
188,4
189,2
190,5
191,5
192,4
193,0
194,1
195,1
196,6
197,5
198,0
199,7
200,5
201,2
202,9
203,7
204,2
205,5
206,7
207,8
208,4
209,4
210,4
211,2
212,6
213,2
214,2
215,5
216,6
217,9
218,5
219,0
220,8
221,9
222,5
223,8
224,7
225,6
226,2
227,9
228,3
229,3
230,2
231,0
232,4
233,0
234,4
235,0
236,1
237,0
238,2
239,0
240,2
241,8
242,7
243,3
244,5
245,5
246,8
247,5
248,7
249,7
250,0
251,2
252,1
253,5
254,0
255,3
256,9
257,3
258,1
259,4
260,4
261,1
262,0
263,0
264,2
265,9
266,9
267,5
268,9
269,2
270,0
271,8
272,2
273,2
274,5
275,1
276,1
277,1
278,2
279,3
280,5
281,9
282,3
283,7
284,9
285,0
286,1
287,6
288,5
289,8
290,7
291,2
292,9
293,2
294,9
295,7
296,1
297,2
298,4
299,1
300,4
301,2
302,3
303,9
304,3
305,6
306,3
307,7
308,5
309,0
310,7
311,0
312,9
313,1
314,6
315,4
316,9
317,1
318,9
319,4
320,6
321,1
322,3
323,6
324,8
325,5
326,7
327,0
328,1
329,9
330,4
331,9
332,3
333,1
334,6
335,2
336,3
337,3
338,2
339,1
340,1
341,6
342,2
343,1
344,9
345,9
346,4
347,9
348,7
349,2
350,6
351,9
352,5
353,5
354,1
355,2
356,2
357,4
358,5
359,8
360,3
361,3
362,2
363,6
364,6
365,9
366,0
367,1
368,1
369,2
370,5
371,5
372,0
373,6
374,5
375,3
376,9
377,6
378,0
379,2
380,0
381,0
382,6
383,3
384,9
385,6
386,0
387,9
388,1
389,5
390,5
391,1
392,7
393,7
394,9
395,5
396,5
397,8
398,6
399,1
400,1
401,6
402,5
403,3
404,8
405,9
406,9
407,2
408,5
409,3
410,1
411,1
412,8
413,2
414,9
415,0
416,7
417,0
418,8
419,5
420,3
421,0
422,6
423,9
424,6
425,3
426,1
427,9
428,6
429,3
430,6
431,8
432,6
433,7
434,4
435,4
436,1
437,2
438,6
439,0
440,7
441,7
442,8
443,8
444,9
445,8
446,6
447,1
448,0
449,9
450,0
451,0
452,5
453,8
454,9
455,4
456,7
457,4
458,9
459,9
460,7
461,5
462,4
463,5
464,5
465,7
466,1
467,1
468,7
469,3
470,5
471,3
472,0
473,5
474,3
475,5
476,4
477,7
478,0
479,4
480,5
481,0
482,0
483,5
484,5
485,7
486,6
487,0
488,7
489,6
490,9
491,0
492,9
493,0
494,1
495,3
496,2
497,0
498,0
499,2
500,7
501,0
502,3
503,8
504,3
505,3
506,9
507,7
508,6
509,4
510,2
511,2
512,9
513,6
514,9
515,7
516,4
517,0
518,5
519,5
520,8
521,5
522,6
523,1
524,9
525,2
526,3
527,5
528,2
529,7
530,9
531,4
532,5
533,4
534,1
535,2
536,1
537,4
538,1
539,9
540,5
541,6
542,5
543,5
544,7
545,8
546,0
547,9
548,3
549,1
550,3
551,0
552,8
553,2
554,7
555,0
556,0
557,5
558,5
559,3
560,4
561,7
562,1
563,2
564,1
565,0
566,4
567,3
568,5
569,5
570,5
571,1
572,2
573,4
574,5
575,1
576,8
577,0
578,6
579,3
580,4
581,8
582,8
583,0
584,1
585,1
586,7
587,3
588,9
589,2
590,5
591,5
592,7
593,6
594,9
595,7
596,9
597,4
598,3
599,3
600,4
601,5
602,9
603,3
604,5
605,6
606,1
607,5
608,7
609,0
610,0
611,6
612,5
613,3
614,2
615,1
616,0
617,3
618,9
619,6
620,5
621,2
622,1
623,6
624,6
625,8
626,6
627,8
628,0
629,4
630,4
631,9
632,6
633,1
634,6
635,9
636,4
637,9
638,2
639,4
640,5
641,1
642,9
643,8
644,6
645,5
646,5
647,7
648,8
649,0
650,0
651,3
652,7
653,9
654,3
655,6
656,8
657,2
658,9
659,5
660,8
661,3
662,8
663,1
664,4
665,9
666,6
667,9
668,0
669,3
670,6
671,8
672,7
673,9
674,0
675,5
676,3
677,4
678,7
679,0
680,4
681,2
682,8
